source,target,score
36.0,64.0,0.9104477611940298
36.0,315.0,0.9253731343283582
36.0,164.0,0.9402985074626866
36.0,396.0,0.9402985074626866
36.0,397.0,0.9104477611940298
36.0,331.0,0.9253731343283582
36.0,76.0,0.9253731343283582
36.0,141.0,0.9552238805970149
36.0,402.0,0.9104477611940298
36.0,292.0,0.9104477611940298
36.0,4.0,0.9104477611940298
36.0,44.0,0.9402985074626866
36.0,55.0,0.9104477611940298
36.0,188.0,0.9104477611940298
36.0,319.0,0.9402985074626866
36.0,35.0,0.9104477611940298
36.0,245.0,0.9104477611940298
36.0,364.0,0.9104477611940298
36.0,209.0,0.9104477611940298
36.0,61.0,0.9104477611940298
36.0,357.0,0.9253731343283582
36.0,215.0,0.9104477611940298
36.0,360.0,0.9104477611940298
36.0,333.0,0.9104477611940298
170.0,357.0,0.9253731343283582
170.0,260.0,0.9104477611940298
170.0,341.0,0.9104477611940298
170.0,130.0,0.9701492537313433
170.0,51.0,0.9253731343283582
170.0,360.0,0.9104477611940298
170.0,163.0,0.9253731343283582
170.0,68.0,0.9552238805970149
170.0,389.0,0.9253731343283582
170.0,333.0,0.9402985074626866
170.0,205.0,0.9104477611940298
170.0,91.0,0.9402985074626866
170.0,287.0,0.9253731343283582
170.0,153.0,0.9552238805970149
170.0,276.0,0.9104477611940298
170.0,85.0,0.9104477611940298
171.0,91.0,0.9253731343283582
29.0,301.0,0.9402985074626866
29.0,391.0,0.9253731343283582
29.0,176.0,0.9104477611940298
29.0,39.0,0.9850746268656716
29.0,78.0,0.9402985074626866
29.0,103.0,0.9104477611940298
29.0,197.0,0.9701492537313433
29.0,256.0,0.9104477611940298
29.0,198.0,0.9104477611940298
29.0,331.0,0.9253731343283582
29.0,311.0,0.9402985074626866
29.0,348.0,0.9552238805970149
29.0,213.0,0.9253731343283582
29.0,123.0,0.9253731343283582
29.0,14.0,0.9253731343283582
29.0,55.0,0.9402985074626866
29.0,118.0,0.9253731343283582
29.0,188.0,0.9104477611940298
29.0,342.0,0.9552238805970149
29.0,245.0,0.9104477611940298
29.0,364.0,0.9104477611940298
29.0,401.0,0.9253731343283582
29.0,340.0,0.9253731343283582
29.0,374.0,0.9402985074626866
126.0,267.0,0.9253731343283582
126.0,386.0,1.0
126.0,297.0,0.9701492537313433
126.0,139.0,0.9850746268656716
126.0,242.0,0.9701492537313433
126.0,109.0,0.9850746268656716
126.0,335.0,0.9701492537313433
126.0,272.0,0.9402985074626866
45.0,64.0,0.9104477611940298
45.0,78.0,0.9104477611940298
45.0,0.0,0.9253731343283582
45.0,278.0,0.9104477611940298
45.0,197.0,0.9104477611940298
45.0,164.0,0.9104477611940298
45.0,396.0,0.9402985074626866
45.0,256.0,0.9402985074626866
45.0,95.0,0.9104477611940298
45.0,58.0,0.9253731343283582
45.0,397.0,0.9402985074626866
45.0,363.0,0.9552238805970149
45.0,224.0,0.9253731343283582
45.0,264.0,0.9552238805970149
45.0,388.0,0.9552238805970149
45.0,92.0,0.9104477611940298
45.0,183.0,0.9104477611940298
45.0,310.0,0.9104477611940298
45.0,402.0,0.9402985074626866
45.0,292.0,0.9104477611940298
45.0,4.0,0.9104477611940298
45.0,44.0,0.9104477611940298
45.0,118.0,0.9253731343283582
45.0,188.0,0.9402985074626866
45.0,319.0,0.9104477611940298
45.0,94.0,0.9253731343283582
45.0,209.0,0.9701492537313433
45.0,227.0,0.9253731343283582
